Objectives,Problem,Data,Methods_Techniques,Results
The main purpose of this study was to evaluate the robustness of the NIOCCS algorithm when provided with low-quality inputs and assess how variations in input quality impact the accuracy of job exposure estimates in a large job-exposure matrix for noise. ,The challenge addressed was the lack of external validation of the NIOCCS algorithm's performance in assigning accurate industry and occupational codes when faced with varying qualities of free-text inputs. ,"The data used included over 700,000 noise measurements from the NoiseJEM, alongside differentially prepared free-text descriptions of industries and job titles to evaluate the NIOCCS algorithm's performance. ","The study involved creating three distinct files with varying levels of refined inputs: (1) “raw” industries and job titles (N1), (2) “refined” industries and “raw” job titles (N2), and (3) “refined” industries and job titles (N3), and then processing these through NIOCCS. The output codes were compared using descriptive statistics to assess misclassification and discordance rates against the original, unaltered dataset (N0). ","The findings revealed discordance rates of 53.6% for N1, 42.3% for N2, and 5.0% for N3 when compared to N0, showcasing that input refinement markedly improves coding accuracy. N2 provided the most accurate noise exposure estimates across major SOC groups with minimal bias, but further refinement in N3 showed little improvement in performance. The study also noted variation in classification efficacy over time, especially before 1985, emphasizing the influence of input quality on machine learning algorithm outcomes."
"The main purpose of the study was to apply Big Data science, specifically tools and techniques from process mining, to the safety domain in order to derive novel insights and improve visualization of safety process data. ","Despite the collection of vast amounts of data in asset-intensive industries, the high accident statistics remain unchanged because the data often does not provide actionable insights. ",The study used process execution data from a Permit to Work system within an Australian energy company. ,"Process mining methods were applied to analyze the process execution data, aiming to understand the complexity of the Permit to Work process, examine conformance and performance issues, and identify resources associated with these issues. ","The analysis revealed the complexity of the Permit to Work process, identified specific conformance and performance issues, and disclosed changes in the frequency of these issues over time. These insights suggest a need to simplify the system, offering a new perspective that could serve as a catalyst for further research at the interface between Big Data science and safety management."
The main purpose of the study was to explore how coupling Artificial Intelligence (AI) with the Internet of Things (IoT) can enhance hazard identification in the construction industry to overcome the limitations posed by human factors. ,"Despite various government frameworks aimed at reducing workplace accidents, about 25% of safety hazards still go unnoticed by construction workers, largely due to human factors such as physiological and psychological states, attention span, bias, and risk tolerance levels. ",The paper does not specify the exact data used but discusses workplace safety statistics from the Singapore WSH (Workplace Safety and Health) Council regarding fatal injuries in the construction industry during the first half of 2019. ,"The study suggests the integration of AI with IoT as a method to improve hazard identification at construction sites, though specific techniques and processes of implementation are not detailed in the abstract. ","The abstract does not provide specific outcomes or results from the implementation of AI and IoT technologies in hazard identification, focusing instead on the potential of such technologies to address the problem."
"The main purpose of this study was to develop a meta-learning framework called MetaInjury to enhance the ability to share risk knowledge and predict the risk of work-related injuries in various construction industry accidents, especially when dealing with small sample data of new accident types. ","The challenge addressed was the limited availability of specific accident injury data, which complicates obtaining risk knowledge and establishing effective accident consequence prediction models in the construction industry. ",The study utilized accident injury records and engaged in modeling based on these records to predict occupational risks in the construction industry. ,The MetaInjury framework uses a process to first calculate the document vector of an accident description and determine its proximity to vectors in a Meta-knowledge database to identify similar accident types. It then correlates meta-features with appropriate machine learning algorithms to recommend accident prediction algorithms. ,"The results demonstrated that the MetaInjury framework effectively supports the prevention of small sample accidents and injury reduction in the construction industry by enabling safety managers to share important accident risk factors and assessment rules, and predict specific small sample accident consequences using the recommended algorithms."
"The main purpose of this study was to evaluate and analyze the health risk of occupational exposure to toxic chemicals in coal mines, using a deep learning algorithm and mathematical model. ","The study addressed the challenge of assessing the risk from toxic substances in the working environment of coal mines, owing to the rise in mining activities in China and associated safety and health risks. ",The study used data collected from the working environment and employees of four different areas within a coal mine in Shanxi Province. This included samples of gases present in the working areas. ,"The researchers employed deep learning algorithms coupled with mathematical evaluation models and a single factor evaluation grade technique to compute the lung condition of mine workers and the concentration of harmful gases, and ultimately derive a risk index for the area. ","The findings indicate that when the coal cutting amount increases, the induced airflow velocity in chutes and guide chutes also increases significantly (54% and 53%, respectively). This increase correlates with higher concentrations of harmful substances in the environment. The study validates the effectiveness and accuracy of the deep learning mathematical model in assessing health risks linked to toxic chemicals in coal mines, emphasizing its importance for the safety management of mine workers."
The main purpose of the study was to propose a perception module using end-to-end deep learning and visual SLAM for effective and efficient object recognition and navigation applied specifically to improve occupational safety in the construction industry. ,"Existing methods in occupational safety that utilize conventional machine learning with stationary cameras face challenges such as perceptual aliasing, occlusion, changes due to seasonal variations and illumination, and significant viewpoint changes, which reduce their effectiveness and reliability in the construction industry. ",The data used included real-world settings in the construction industry to test the proposed deep learning models and visual SLAM strategies. ,"The study implemented various deep learning frameworks and visual navigation strategies, along with evaluation metrics like model speed, accuracy, complexity, precision, recall, P-R curve, and F1 score, to select the best model for deployment on a mobile robot. The YOLOv3 algorithm was specifically evaluated, and the Google Cartographer SLAM was used for laser SLAM assessments. ","The YOLOv3 demonstrated a favorable balance between performance metrics with a mean average precision of 57.9% and an ability to process 45 frames per second on NVIDIA Jetson TX2, making it suitable for real-time detection and deployment on mobile robots. The Google Cartographer SLAM showed the lowest RMSE, indicating reliable performance in terms of localization and mapping, and acceptable processing times. The perception module was proven to effectively detect construction workers not using hard hats under various site conditions and could enhance safety inspection and supervision in line with OSHA standards."
The main purpose of the study was to design a system that aids in individual environmental risk assessment and long-term risk management within the context of Industry 4.0. ,"The challenge addressed was the need for a reliable system to monitor and manage workers' exposure to hazardous agents in the workplace, such as dust, noise, ultraviolet radiation, poor lighting, and inappropriate temperature and humidity. ",Data for this study was collected using IoT devices that monitored various hazardous agents in the workplace. ,"The study implemented a system comprising a monitoring device and a server. It involved employee registration, securing messages from monitoring devices, displaying exposure information, and triggering alarms based on legislative and standard limits. The system was tested in a controlled environment. ","The results from the controlled environment tests are discussed in the paper. The system, though still under development, successfully monitored and reported on hazardous exposures, and future enhancements will include a smartphone app for employee use and artificial intelligence for data analysis and long-term planning."
The main purpose of this study was to propose and validate a new method for predicting single-worker severity levels using site images and video clips to enhance frequency and accuracy of safety monitoring on construction sites. ,"The challenge addressed was the time-consuming and costly nature of omnipresent safety monitoring on construction sites, despite the critical importance of risk analysis for long-term safety enhancements. ","The study utilized a challenging image dataset, which included images of construction workers annotated with ground truth severity level annotations. ","The researchers developed efficient computer vision models for risk analysis, implementing a multitask recognition model that processes objects, activity, and keypoints from visual data simultaneously. This included a spatio-temporal graph neural network for improving worker activity recognition through the use of per-frame activity, tool and material bounding boxes, and worker poses. Finally, a trained classifier was used for predicting severity levels. ","The prediction model demonstrated 85.7% cross-validation accuracy for bricklaying tasks and 86.6% cross-validation accuracy for plastering tasks, showcasing significant potential for real-time worker safety detection and severity assessment in construction environments."
"The study aimed to assess the health risks of occupational exposure to 1,3-butadiene vapors in a petrochemical industry in Iran. ","The primary problem addressed is the potential health risks, including carcinogenic effects, posed by exposure to 1,3-butadiene among workers in the petrochemical industry. ","The study involved 150 samples collected from the respiratory air of 50 workers in a petrochemical industry that produces copolymer ABS (acrylonitrile, butadiene, styrene) in Iran during 2018. ","The study utilized the NIOSH 1024 method for sampling, using coconut-activated charcoal adsorbent tubes and gas chromatography-flame ionization detection (GC-FID) for analysis. It assessed exposure through an occupational exposure index, corrected for work hours, and applied a quantitative risk assessment method involving the hazard quotient (HQ) index for health risk calculations. ","Results indicated that the mean respiratory exposure to 1,3-butadiene was below the occupational limit, with variations seen across workstations. Safety and fire-fighting station workers showed the highest exposure levels. Notably, 60% of workers faced unacceptable health risks (HQ > 1.0). The study highlighted the necessity of improved ventilation and control systems to reduce exposure and associated health risks."
The main purpose of this study was to emphasize the importance of integrating the spatial dimension into individual and continuous occupational risk exposure monitoring within the context of Industry 4.0. ,"The challenge addressed was the lack of consideration for spatial data in existing big data-based solutions for occupational risk management, which have become increasingly important with the rise of safety 4.0 and industry 4.0 technologies. ","The study utilized data collected through IoT (Internet of Things) and wearable devices, characteristic of Industry 4.0, to gather occupational health and safety (OHS) risk exposure information. ","The research presented a typical architecture of an integrated system that leverages IoT and spatial big data technologies. This system collects, stores, analyzes, and visualizes the data to facilitate improved monitoring and understanding of OHS risks. ","The main findings highlighted the effectiveness of the proposed architecture in enhancing the monitoring, interpretation, and understanding of OHS-related issues by integrating spatial data handling and visualization capabilities."
The main purpose of the study was to assess the feasibility of using artificial intelligence (AI) and deep learning techniques to automate the compliance of personal protective equipment (PPE) at workplaces. ,"The challenge addressed was the issue of employee compliance and proper use of PPE, despite companies being able to provide the necessary equipment. ","The abstract does not specify the exact data used for the study, but it implies the use of image or video data for the application of AI techniques in detecting PPE usage. ",The study applied the YOLOv5 (You Only Look Once version 5) deep learning algorithm to detect various types of head-mounted PPE. ,"The YOLOv5 algorithm achieved high precision, with an average score of 0.857, in detecting head-mounted PPE, indicating a strong potential for future applications of AI tools in enhancing PPE compliance and workplace safety."
"The main purpose of this study was to improve the safety of workers in shared workspaces by enhancing the early detection of humans through machine learning, specifically in environments where humans and robots coexist. ","The study addressed the challenge of ensuring the reliability and robustness of machine learning systems that detect humans in shared workspaces, which is crucial for preventing downtime or system stoppages due to the close proximity of humans and robots. ","The researchers created their own dataset for the experiment, which included images of humans wearing different types of clothing to train the detection models. ","The study applied advanced machine learning techniques, specifically evaluating the performance of Faster R-CNN and SSD, which are state-of-the-art object detection models. The evaluations were conducted using two different camera viewpoints to assess the effectiveness of these techniques in detecting humans in a workspace shared with robots. ","The paper details the experimental setup and discusses the requirements necessary for validating the safety of such detection systems, implying the effectiveness and potential industrial application of the evaluated models, although specific performance results aren't mentioned in the abstract."
"The main purpose of this study is to explore the application of machine learning in overcoming subjectivity and bias in risk ranking decision-making processes related to industrial accidents, as part of addressing the Fourth Industrial Revolution (IR 4.0) trends. ","The study addresses Malaysia's lag behind Singapore in adopting AI innovations within ASEAN countries, and the challenges specific to applying machine learning in accident risk analysis in Malaysian industries. ","The study relies on a review of existing literature pertaining to machine learning applications, supplemented by data from industrial and governmental agencies such as the Department of Occupational Safety and Health (DOSH) Malaysia. ","The study employs a literature review methodology, focusing on evaluating existing machine learning features for their feasibility in industrial accident analysis. It particularly assesses the use of supervised machine learning in this context. ",The findings highlight the necessity of a publicly accessible large database from industries and agencies to develop effective algorithms that improve accident risk analysis and safety decision-making. The study also notes existing challenges in harnessing supervised machine learning for these purposes in Malaysia.
"The main goal of this study was to develop a systematic strategy using deep learning models to monitor the use of hard hats at construction sites in real-time, enhancing occupational health and safety practices in the industry. ","The study addresses the major issue of non-compliance with safety helmet usage at construction sites, which often leads to serious injuries or fatalities due to falling objects. This problem is exacerbated by the difficulty in maintaining round-the-clock human monitoring of safety practices. ",The study utilized a dataset comprising 7063 images to train and evaluate the deep learning models. ,"The research implemented various models of the YOLOV5 architecture—specifically YOLOV5n, YOLOv5s, YOLOv5m, YOLOv5l, and YOLOv5x—within the PyTorch framework to detect whether construction workers are wearing hard hats. ","The findings revealed that the YOLOV5x model performed the best, achieving a high mean Average Precision (mAP) of 95.8%, while the YOLOV5n model was the fastest, processing images at 70.4 frames per second (FPS). These results demonstrate the feasibility of using this technology to monitor hard hat usage effectively at construction sites."
The main goal of the study is to improve the analysis of occupational injuries in the construction industry using an attribute-based risk assessment model combined with a degree of risk assessment to enhance the understanding and management of safety hazards. ,"The study addresses the challenge of systematically analyzing risk factors and safety attributes in the dynamic environment of the construction industry, where occupational safety hazards are a major concern. ","The study utilizes data from a large collection of construction-related injury reports, which are classified according to risk factors and safety attributes outlined by the National Institute for Occupational Safety and Health (NIOSH) and other safety standards. ","The methods applied include an attribute-based risk assessment model and a degree of risk assessment. Additionally, data mining techniques are used to analyze the data to reveal associations, visualizations, and correlation coefficients between risky activities and construction hazards. ","The results are expected to reveal key relationships between causes of safety hazards, critical safety attributes, and ergonomic characteristics. It also aims to understand the levels of injury and their relevant risk controls and preventions to benefit the construction industry."
"The study aims to explore the applications of artificial intelligence (AI) in the construction industry, examine the AI techniques being used, and identify both opportunities and challenges for AI integration in this field. ","The construction industry faces significant issues such as cost and time overruns, health and safety concerns, productivity and labor shortages. Additionally, it is one of the least digitized industries, making it difficult to address these problems effectively. ","The study involved a critical review of existing literature on AI applications within the construction industry, focusing on areas such as activity monitoring, risk management, resource and waste optimization. ",The research method involved reviewing available literature to summarize the current state of AI applications in the construction industry and to identify the benefits and challenges associated with these applications. ,"The findings reveal key AI applications pertinent to addressing specific challenges in the construction industry and outline a pathway for realizing the potential benefits of AI in enhancing efficiency, safety, and profitability in the sector. Opportunities and challenges of AI applications were also comprehensively presented."
The main purpose of the study was to improve ergonomics and safety conditions in the workplace within the context of industry 4.0 by developing a technology that could cooperate with human operators and machines. ,"The specific challenge addressed was the vibration risk, a known cause of work-related pathologies in industrial settings. ",The study used vibration data collected using a wearable device designed to segment signals into time windows. ,The methods applied included the development of a wearable device for data collection and the implementation of a machine learning classifier to recognize worker activities and evaluate exposure to vibration risks. ,The experimental results indicated that the methodology was both feasible and effective in addressing the problem of vibration risks in the workplace.
"The main purpose of the study was to develop an artificial intelligence (AI)-based system using wearable sensors to assess the safety level of workers lifting loads, aiming to detect unsafe lifting practices and potentially reduce the risk of back injuries and musculoskeletal disorders. ","The study addresses the significant issue of low back pain and injuries among workers who manually handle loads in workplaces such as warehousing, agriculture, and construction. These injuries are prevalent and largely occur due to the improper lifting of loads. ","The system utilized data collected by wearable sensors integrated into a reflective safety jacket, which included two barometric altimeters, a triaxial accelerometer, and a triaxial magnetometer. ","The developed system employed sensors to continuously monitor signals during workers' shifts. Data from the barometric altimeters were fused to detect load lifting events, and a neural classifier analyzed the accelerometer and magnetometer signals to assess whether the load lifting was performed safely. ","The system was tested on 30 workers, demonstrating high effectiveness with an accuracy rate of 95.6% in identifying whether the lifting tasks were performed safely. "
The main purpose of the study was to develop a system using wearable technology and machine learning to automatically identify the use time of hand-held vibrating tools in the workplace. ,The study addressed the challenge of risk assessment related to exposure to vibrations affecting the hand-arm system in workplaces and aimed to improve methodologies for quantifying the effects on workers’ health. ,The study utilized data collected from a commercial smartwatch used in the operational environment where hand-held vibrating tools are employed. ,Machine learning techniques were applied to the data collected by the smartwatch to develop an automatic recognition system that can identify three types of machine families and a specific model within a single tool family. ,"The system demonstrated high accuracy in recognizing different types of machine families and specific models within these families, suggesting its efficacy in assessing and managing occupational risks associated with the use of vibrating hand-held tools."
The main purpose of the study was to implement data analytics and Machine Learning (ML) techniques in the construction safety sector to enhance workplace safety by predicting construction fatalities and understanding the severity of safety risks in projects. ,The study addressed the high fatality rate in the construction industry and the need for project managers to understand and mitigate the risks associated with their projects. ,"The study utilized a dataset comprising 4847 incident reports from the years 2015 to 2017, sourced from the Occupational Safety and Health Administration (OSHA) database. ","The study employed data analytics to identify key attributes related to construction incidents, which were classified into Before Accident and After Accident categories. Machine Learning algorithms, specifically Random Forest (RF) and Decision Tree (DT), were then used to predict construction fatalities based on these attributes. ","The results of the study revealed that the Random Forest algorithm provided better prediction outcomes for attributes categorized as Before Accident, while the Decision Tree algorithm was more effective for After Accident attributes. These findings aid safety management teams in assessing and addressing safety risks in construction projects."
The main purpose of this study is to design an architecture that integrates advanced technologies into Personal Protective Equipment (PPE) to enhance worker safety in the industrial sector. ,"The challenge addressed is the need for improved safety measures in the industrial sector, especially in environments where internet connectivity may be unreliable or absent, thereby limiting the effectiveness of typical Internet of Things (IoT) safety solutions. ","The abstract does not specifically mention the types of data used in the study; however, it implies the use of data collected from sensors embedded in PPE for monitoring environmental conditions and detecting anomalies. ","The study implemented a system using Artificial Intelligence (AI) techniques processed through Edge Computing, alongside the deployment of a Multi-Agent System and ROS (Robot Operating System) technology, embedded in PPE worn by workers. ","The main result is the proposed architectural system that ensures the safety and integrity of industrial workers by predicting and notifying them of anomalies in their work environment, without relying on internet connectivity."
"The main purpose of the study was to enhance Occupational Health and Safety Risk Assessment using Industry 4.0 technologies, specifically aimed at collecting and analyzing large-scale data related to occupational risk factors in the workplace. ",The challenge addressed was the need for improved methods to assess occupational risk dynamically and individually to better protect workers. ,The study used time series data of occupational risk factors collected from workplaces. ,"A multi-criteria approach was applied to assess occupational risk. Initially, a segmentation algorithm was used for the pre-treatment of the time series data. Following this, a TOPSIS (Technique for Order Preference by Similarity to Ideal Solution) approach was implemented to assess the dynamic, individual, and integrated risks faced by workers over time. ","The main findings demonstrated the applicability of the proposed multi-criteria and big data analysis approach for dynamic and individual risk assessment in occupational settings, illustrated through a numerical example in the study."
N/A,N/A,N/A,N/A,N/A
"The main purpose of this study is to improve the detection of fatigue among construction workers using objective techniques that analyze physiological data, focusing specifically on motion capture data. ","The construction industry faces significant challenges related to worker health, particularly regarding the hazards of fatigue which is often overlooked on construction sites. This study addresses the lack of sufficient research on the detection of fatigue following physical activities in this sector. ","The study utilizes physiological data acquired from construction workers, particularly motion capture data captured in video format. ",The research employs objective fatigue detection methods that analyze physiological responses of the workers to assess fatigue levels. Advanced approaches in motion capture technology were used to gather and analyze data. ,"The study enhanced understanding of fatigue detection in post-physical activity scenarios among construction workers, offering new insights into effective methodologies for assessing fatigue based on objective data from motion capture technologies."
The main purpose of this study is to evaluate how embedded artificial intelligence (AI) and machine learning (ML) can impact the safety of machinery and machinery systems during the development of their applications. ,"The challenge addressed is the lack of significant consideration of AI and ML in the realm of machinery safety, specifically how these technologies introduce new hazards within machinery systems. ","The abstract does not specify particular data used, focusing more on the conceptual analysis of AI and ML impacts on machinery safety. ",The study approaches the problem by describing and integrating new hazards associated with embedded AI and ML into the risk assessment process for machinery safety. ,"The main findings suggest a significant complexity introduced by AI and ML in machinery systems. This complexity could necessitate a revision of European legislation, specifically the Machinery Directive, to update or introduce essential health and safety requirements (EHSR) to maintain current safety levels."
The main purpose of this study was to assess the microbial contamination (specifically fungi and bacteria) in two coffee production facilities in Brazil. ,"Previous studies have documented respiratory abnormalities among workers in coffee roasting and packaging facilities, but there was limited understanding about the microbiological contamination in such environments. ","The study used samples collected from four main sources at the coffee production facilities: filtering respiratory protection devices (FRPD) worn by workers, settled dust, electrostatic dust cloths (EDC), and coffee beans. ","The study utilized a multi-approach protocol for sampling and subsequent analysis, including molecular detection of toxigenic fungal species and assessment of antifungal resistance. ","The study found the highest bacterial contamination in FRPDs from both facilities. Aspergillus genera, particularly sections with clinical relevance and toxigenic potential, were widespread in all environmental samples. There was also a significant presence of antifungal-resistant fungi, suggesting that occupational exposure to mycotoxins is a hazard. The results indicate that microbial contamination is a prominent occupational risk, especially during the milling stage of coffee production."
The main purpose of this study was to examine the feasibility of using a wearable insole pressure system to automatically recognize overexertion-related activities among construction workers and to assess their ergonomic risk levels. ,"The study addresses the lack of focused research on the automated recognition of overexertion-related construction workers' activities and the assessment of ergonomic risk levels, which are crucial for minimizing work-related musculoskeletal disorders (WMSDs) among construction workers. ","The data utilized in the study included acceleration and foot plantar pressure distribution data, captured by a wearable insole pressure system. ",The study employed five types of supervised machine learning classifiers to assess classification accuracy using different window sizes. These classifiers were tested in a lab setting by simulating overexertion-related construction activities. The study also used cross-validation to evaluate performance metrics like classification accuracy and sensitivity. ,"The results demonstrated that the Random Forest classifier with a 2.56-second window size achieved the highest classification accuracy of 98.3%, and a sensitivity of more than 95.8% for each category of activities. Furthermore, the assessment of corresponding ergonomic risk levels consistently aligned with the actual levels of risk. These findings support the development of a noninvasive wearable insole pressure system for continuous monitoring and automated activity recognition. This system could help researchers and safety managers identify and assess overexertion-related construction activities to minimize the risk of developing WMSDs among workers. "
N/A,N/A,N/A,N/A,N/A
The main purpose of this study is to analyze formal rectification notices in the construction industry to enhance safety control and contribute to national economic growth. ,"The construction industry faces a high rate of accidents, necessitating improved safety controls to mitigate risks involving unsafe facilities and improper operations. ","The study utilized 4,801 rectification notices issued by the Shanghai Municipal Construction Engineering Safety Quality Supervision Center from 2017-2018. ","The research applied text mining and machine learning methods, specifically using word segmentation for text processing and LIBSVM, an integrated software for support vector classification, to classify potential safety risks. ","The study successfully demonstrated the efficacy of the LIBSVM-based model in classifying construction safety factors. It identified frequent safety hazard events and highlighted that facilities like scaffolds, tower cranes, and foundation pits are likely sources of hazards if not compliant with regulations. This contributes to a more thorough understanding of safety indicators in the construction industry."
N/A,N/A,N/A,N/A,N/A
The main purpose of the study was to analyze patterns in mine accidents to identify significant risk factors that could help with efforts to further reduce accidents and work towards the goal of zero injuries and occupational illnesses in the mining industry. ,"Despite advancements in technology, increased enforcement, and growing safety consciousness which have lowered accident and injury rates in the global mining industry, there remains a critical need to further reduce these incidents. ","The study employed a 10-year injury dataset obtained from the Mine Safety and Health Administration (MSHA), which was aggregated based on injury classification for statistical analysis. ","The study utilized multiclass logistic regression, a machine learning technique, to analyze the data and determine a miner's susceptibility to various classes of injuries, thus identifying related risk factors. ","The analysis highlighted that a miner's experience in their current job role significantly affects injury risk, regardless of their overall years of experience in mining. The study also delineated the differences and similarities in risk factors between surface and underground mining incidents, with significant risk factors including miner's age, type of mine (coal vs. non-coal), duration of employment in the current position, shift start time, employment type (operator vs. contractor), mining district, and the type of accident encountered."
"The main purpose of the study was to explore how Internet-of-Things-related technologies can be used in Industry 4.0 to develop smart solutions that improve occupational safety and health, reducing workplace accidents and promoting healthier environments. ","Despite advances in industrial technologies and processes, statistics indicate a persistent need for enhanced measures to prevent work-related accidents and illnesses. ","The study utilized data related to occupational risks, diseases, as well as current technologies and systems applied in Industry 4.0, focusing on real-time monitoring and analysis of occupational conditions. ",The study analyzed proposals involving smart personal protective equipment (smart PPE) and monitoring systems. It also examined the use of artificial intelligence in these systems and discussed data privacy concerns related to their implementation. ,"The main findings suggest that integrating smart PPE and advanced monitoring systems in Industry 4.0 can significantly contribute to reducing workplace accidents and enhancing the health and safety of work environments, although data privacy issues need careful consideration."
The main purpose of this study was to explore the internal relationships between different mining safety hazards and the patterns of these occurrences using big data analysis. ,"The study addressed the issue of high accident rates in metal mines due to unstructured and poorly utilized safety hazard data, which were typically only used for simple, non-informative analyses, leading to ineffective guidance in accident prevention. ",The study utilized unstructured short text data concerning safety hazards collected from daily safety inspections and recorded in a secure big data platform. ,"The research employed a multi-dimensional analysis model to investigate mine safety risks, analyzing the data in terms of time and spatial distribution. It applied a topic mining model to classify hazard information into 13 topics, used association rules for mining hidden dangers, and leveraged the R programming language for data visualization. ","The results revealed significant internal relationships between different mine hazards and provided detailed visualizations of these relationships. This analytical approach helped in effectively utilizing the hidden danger data, thus averting the wastage of valuable data resources and offering guidance value for mine accident prevention."
The main purpose of this study is to enhance occupational risk assessment in the construction industry using both attribute-based and data mining approaches to improve the understanding and mitigation of safety hazards. ,"The challenge addressed is the dynamic and dangerous nature of construction work environments, necessitating improved methods for assessing and managing safety risks through the analysis of safety-related documentation. ","The study utilized safety-related documentations including injury reports, physical demand analyses (PDAs), and standard operating procedures (SOPs). ","The research applied an attribute-based approach for identification and risk classification based on the level of injuries, coupled with data mining techniques to unveil causality links between hazardous activities and injuries. A conceptual digital transformation framework was also proposed for digital mapping and future risk predictions. ","The study identified relationships between causes of safety hazards and key safety attributes, alongside corresponding risk controls. The blend of attribute-based recognition and data mining facilitated a thorough understanding and management of risk factors in the construction industry."
The main purpose of the study was to enhance health and safety (H&S) risk management in power infrastructure projects by developing deep learning models. ,"The study addressed the challenge of effectively utilizing health and safety incident data to mitigate accident occurrences in power infrastructure, due to limitations in existing data logging methods. ",The study utilized an H&S risk database sourced from a leading UK power infrastructure construction company. ,"A text-mining approach was employed to extract meaningful terms from the data and develop six deep learning models using the H2O framework of the R language. The models developed include DNNclassify (to classify risk or no risk), DNNreg1 (loss time), DNNreg2 (body injury), DNNreg3 (plant and fleet), DNNreg4 (equipment), and DNNreg5 (environment). ","The deep learning models demonstrated high performance, with the classification model achieving an overall accuracy of 0.93 and the regression models averaging an R^2 value of 0.92. These models, alongside a developed user-interface module, are expected to help practitioners better understand and manage H&S challenges, reduce project costs, and implement effective risk mitigation strategies."
"The main purpose of this study was to develop a robust and accurate prediction model using machine learning to forecast imminent accidents in power infrastructure projects, facilitating proactive risk mitigation strategies. ",The challenge addressed was the difficulty in optimally eliminating redundant features in machine learning algorithms and finely tuning the parameters to enhance prediction accuracy. ,"The study used 1,349,239 data points from an incident dataset pertaining to power infrastructure projects. ",A particle swarm optimization approach was proposed for both feature selection and parameter tuning of the gradient boosting machine technique. ,"The results indicated that the proposed method achieved nearly perfect predictions on test data, with a classification accuracy of 0.878 and a coefficient of determination of 0.93 for the outcome variables ACCIDENT and INJURYFREQ. This high predictive power demonstrates that injuries follow identifiable patterns rather than occurring randomly, and that machine learning can successfully capture these patterns when applied to large datasets."
The primary goal of this study was to enhance the classification of accident causes in the construction sector using advanced text mining and machine learning techniques. ,"The construction industry is one of the most hazardous sectors worldwide, leading to numerous fatalities and significant financial losses due to occupational safety issues. Existing methods for classifying accident causes may not be adequately effective. ",The data utilized in this study originates from the Occupational Safety and Health Administration (OSHA) website. ,"This research employs text mining techniques and deep neural networks specifically. GloVe word embeddings with 300 dimensions were utilized for text classification. A new model named the context connotative network (CCNet) was proposed and compared against five baseline models which include Logistic Regression (LR), K-Nearest Neighbors (KNN), Support Vector Machines (SVM), Naive Bayes (NB), and Decision Tree (DT). ","The findings discovered that the newly proposed CCNet model surpassed the performance of all other standard models in classifying accident causes, as evaluated by the average weighted F1 score metric. The use of GloVe embeddings proved beneficial in capturing semantic relationships, and the extraction of noun and verb phrases contributed significantly to the performance enhancement of the model."
The main purpose of this study is to identify sectoral patterns of accident processes using narrative text information from accident reports. ,"The problem addressed is the challenge in identifying and categorizing multiple accident factors and types of accident processes across different industries, which could help in understanding the similarities and differences in accident processes by industry. ","The data used in the study consists of narrative texts from accident reports, specifically from the Occupational Safety and Health Administration (OSHA) in the United States. ",The methods applied in this research include text mining and Latent Dirichlet Allocation (LDA) algorithms. These were used to extract topics of accidents and their main factors matched with class of industries. ,"The study identified five sectoral patterns of accident processes: scale-intensive, facility-intensive, supplier-dominated, market-dominated, and service-dominated patterns. These findings can assist managers and policy makers in the fields of safety to address management issues in relation to industry, source, activity, and accident results, taking into account the specific characteristics of industrial sites."
"The primary goal of this study was to develop an effective tool, the Ensemble Predictive Safety Risk Assessment Model (EPSRAM), to assess occupational health and safety (OHS) risks for workers on construction sites in Malaysia. ","The study addressed the issue of persistent OHS-related injuries in construction projects within developing countries, particularly due to inadequate management, governmental oversight, and technical safety measures. Additionally, a specific focus was on the lack of research specifically targeting Malaysian construction sites. ",The study utilized case projects from various construction sites in Malaysia to apply the EPSRAM and evaluate its effectiveness. ,"The developed EPSRAM integrated neural networks with fuzzy inference systems to assess the safety risks. This model aimed to identify major safety risks, crucial factors impacting safety assessments, and predict the magnitude and possible mitigation strategies for these risks. ","The EPSRAM successfully identified and predicted major potential safety risks and crucial factors affecting construction worker safety. It also provided accurate predictions of the magnitude of these risks and the applicable evaluation strategies, thereby furnishing safety professionals and inspectors with valuable information to enhance the working environment for construction crews."
